iter	Passed	Remaining
402	12079	2907
403	12110	2877
404	12140	2847
405	12166	2816
406	12197	2787
407	12223	2756
408	12252	2726
409	12282	2696
410	12312	2666
411	12338	2635
412	12365	2604
413	12394	2574
414	12425	2544
415	12453	2514
416	12482	2484
417	12512	2454
418	12538	2423
419	12566	2393
420	12598	2364
421	12626	2333
422	12656	2303
423	12683	2273
424	12712	2243
425	12739	2213
426	12768	2182
427	12794	2152
428	12826	2122
429	12852	2092
430	12882	2062
431	12911	2032
432	12940	2002
433	12970	1972
434	12999	1942
435	13025	1911
436	13057	1882
437	13085	1852
438	13114	1822
439	13140	1791
440	13171	1762
441	13201	1732
442	13231	1702
443	13260	1672
444	13290	1642
445	13318	1612
446	13349	1582
447	13380	1553
448	13410	1523
449	13438	1493
450	13467	1463
451	13498	1433
452	13524	1403
453	13555	1373
454	13586	1343
455	13618	1314
456	13647	1284
457	13677	1254
458	13707	1224
459	13737	1194
460	13764	1164
461	13795	1134
462	13824	1104
463	13851	1074
464	13878	1044
465	13909	1014
466	13937	984
467	13968	955
468	13994	925
469	14027	895
470	14055	865
471	14087	835
472	14118	805
473	14149	776
474	14181	746
475	14212	716
476	14239	686
477	14271	656
478	14298	626
479	14330	597
480	14357	567
481	14386	537
482	14414	507
483	14443	477
484	14471	447
485	14502	417
486	14533	387
487	14565	358
488	14594	328
489	14622	298
490	14654	268
491	14684	238
492	14715	208
493	14746	179
494	14777	149
495	14807	119
496	14834	89
497	14865	59
498	14896	29
499	14922	0
